company,country,expiration_date,product_type,product_name,id,address,city,state_province,phone,website,level_one_class,level_two_class,reasoning,society,company_clean,company_standardized,has_overlap,standardized_product_type
"NIL-COR LLC, AN ANDRONACO INDUSTRIES COMPANY",United States,2029-12-17,"Valve, FRP Ball & Butterfly","Series 300M, 310M, 310, 310HD, 410M, 500M, 610M, 700, 710",abs_18218ebc,"4855 BROADMOOR AVENUE, KENTWOOD, MI, UNITED STATES, 49512",KENTWOOD,MI,,,Tube Part,Valve,"The component 'Valve, FRP Ball & Butterfly' contains two specific valve types mentioned in the examples: ball valve and butterfly valve. According to the taxonomy examples, both ball valves and butterfly valves are classified under 'Tube Part > Valve' with their specific type as Level 3. Since the component mentions both types, the most specific classification would be 'Ball valve' as it appears first in the naming convention. The 'FRP' prefix appears to be a material descriptor (Fiber Reinforced Plastic) which doesn't affect the core classification as it remains a valve component.",abs,nil-cor llc an andronaco industries companympany,nil-cor llc an andronaco industries companympany,False,"Valve, FRP Ball & Butterfly"
PARSON ADHESIVES INC,United States,2027-10-30,Adhesives,"Partite 7300, 
Partite 7310, 
Partite 7420, 
Partite 7425",abs_67bceac0,"3345 AUBURN ROAD SUITE 107, ROCHESTER HILLS, MI, UNITED STATES, 48309",ROCHESTER HILLS,MI,,,Materials,Rubber and plastic products,"Adhesives are raw materials/substances used for bonding and sealing, which aligns with the 'Materials' category. The example 'Rubber putty and glue' is classified under 'Materials > Rubber and plastic products' and serves a similar function to adhesives. Since adhesives are chemical compounds/substances rather than machinery, electrical parts, or structural components, the Materials category is most appropriate.",abs,parson adhesives incorporated,parson adhesives incorporated,False,Adhesive
"PLASCORE, INC.",United States,2025-11-16,Polypropylene Honeycomb,PP1-5.0-N1-8,abs_bbf1c73e,"615 N. FAIRVIEW STREET, P.O. BOX 170, ZEELAND, MI, UNITED STATES, 49464",Zeeland,MI,,,Materials,Rubber and plastic products,"Polypropylene Honeycomb is a raw material/substance made from polypropylene plastic in a honeycomb structure. Based on the examples, polypropylene falls under 'Rubber and plastic products' as shown by similar plastic materials like 'Polyester film', 'Nylon products', and 'Polytetrafluoroethylene products'. The honeycomb structure indicates it's a specific form of polypropylene product, similar to how other plastic products are classified.",abs,plascore incorporated,ipex incorporated,False,Polypropylene Honeycomb
THE OILGEAR COMPANY,United States,2024-04-10,"Valve, Isolation",MCV-1008-D-EP-12,abs_3c5a2b61,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Tube Part,Valve,"Based on the classification rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings. The examples show that specific valve types like 'Stop valve' and 'Self closing valve' are classified at Level 3 under 'Tube Part > Valve'. 'Isolation valve' is a specific type of valve used to isolate sections of piping systems, making it analogous to the 'Stop valve' example which serves a similar isolation function.",abs,the oilgear companympany,the oilgear companympany,False,"Valve, Isolation"
THE OILGEAR COMPANY,United States,2025-01-23,Drilling Equipment (Valve),FSV-0808-D-02,abs_0b45053d,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Exterior,Special machinery and equipment,"The component 'Drilling Equipment (Valve)' is clearly drilling-related equipment, which directly matches the pattern shown in Example 1. While the word 'valve' might suggest Tube Part classification, the context of 'Drilling Equipment' takes precedence as it represents specialized machinery for drilling operations. The examples consistently show that drilling-related equipment is classified under Exterior > Special machinery and equipment > Special machinery and equipment for drilling vessels, regardless of specific sub-components like valves.",abs,the oilgear companympany,the oilgear companympany,False,Drilling Equipment
THE OILGEAR COMPANY,United States,2027-09-05,"Valve, Anti-Recoil",ARV-0505-X-05 & ARV-0505-X-09,abs_3a17ff9f,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Tube Part,Valve,"The component 'Valve, Anti-Recoil' is clearly a valve type that prevents recoil/back-flow in piping systems. Following the exact pattern shown in the examples (e.g., 'Anti-wave valve' classified as 'Tube Part > Valve > Anti-wave valve'), this should be classified under Tube Part as the Level 1 category, Valve as Level 2, and the specific valve type 'Anti-recoil valve' as Level 3. The anti-recoil function describes the specific purpose of this valve, similar to how 'anti-wave' describes the anti-wave valve.",abs,the oilgear companympany,the oilgear companympany,False,"Valve, Anti-Recoil"
THE OILGEAR COMPANY,United States,2024-12-09,Drilling Equipment (Valve),"MCV-1008-D-02
MCV-1008-D-10
MCV-1008-D-11",abs_aaf36794,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Exterior,Special machinery and equipment,"The component 'Drilling Equipment (Valve)' is clearly drilling-related equipment, which directly matches the pattern shown in Example 1. While the word 'valve' might suggest Tube Part classification, the context of 'Drilling Equipment' takes precedence as it represents specialized machinery for drilling operations. The examples consistently show that drilling-related equipment is classified under Exterior > Special machinery and equipment > Special machinery and equipment for drilling vessels, regardless of specific sub-components like valves.",abs,the oilgear companympany,the oilgear companympany,False,Drilling Equipment
THE OILGEAR COMPANY,United States,2026-08-29,Drilling Equipment,MCV‐1008‐D‐EP‐16,abs_c3ff7a2a,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Exterior,Special machinery and equipment,The component 'Drilling Equipment' directly corresponds to the example 'Special machinery and equipment for drilling vessels' provided in the taxonomy. The examples show a consistent pattern where drilling-specific equipment is classified under Exterior > Special machinery and equipment > Special machinery and equipment for drilling vessels. This classification aligns with the rule that exterior/hull items and specialized machinery should be classified under Exterior.,abs,the oilgear companympany,the oilgear companympany,False,Drilling Equipment
THE OILGEAR COMPANY,United States,2029-08-27,"Valve, Anti-Recoil",ARV-0404-X-05,abs_b69f7b60,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Tube Part,Valve,"The component 'Valve, Anti-Recoil' is clearly a valve type that prevents recoil/back-flow in piping systems. Following the exact pattern shown in the examples (e.g., 'Anti-wave valve' classified as 'Tube Part > Valve > Anti-wave valve'), this should be classified under Tube Part as the Level 1 category, Valve as Level 2, and the specific valve type 'Anti-recoil valve' as Level 3. The anti-recoil function describes the specific purpose of this valve, similar to how 'anti-wave' describes the anti-wave valve.",abs,the oilgear companympany,the oilgear companympany,False,"Valve, Anti-Recoil"
THE OILGEAR COMPANY,United States,2029-12-04,"Valve, Anti-Recoil","ARV-0505-X-07, ARV-0505-X-08",abs_5329ed62,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Tube Part,Valve,"The component 'Valve, Anti-Recoil' is clearly a valve type that prevents recoil/back-flow in piping systems. Following the exact pattern shown in the examples (e.g., 'Anti-wave valve' classified as 'Tube Part > Valve > Anti-wave valve'), this should be classified under Tube Part as the Level 1 category, Valve as Level 2, and the specific valve type 'Anti-recoil valve' as Level 3. The anti-recoil function describes the specific purpose of this valve, similar to how 'anti-wave' describes the anti-wave valve.",abs,the oilgear companympany,the oilgear companympany,False,"Valve, Anti-Recoil"
THE OILGEAR COMPANY,United States,2025-01-15,Drilling Equipment (Valve),"Flow Shut-Off Valve 6"" FSV-0606-D-01",abs_784e5590,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Exterior,Special machinery and equipment,"The component 'Drilling Equipment (Valve)' is clearly drilling-related equipment, which directly matches the pattern shown in Example 1. While the word 'valve' might suggest Tube Part classification, the context of 'Drilling Equipment' takes precedence as it represents specialized machinery for drilling operations. The examples consistently show that drilling-related equipment is classified under Exterior > Special machinery and equipment > Special machinery and equipment for drilling vessels, regardless of specific sub-components like valves.",abs,the oilgear companympany,the oilgear companympany,False,Drilling Equipment
THE OILGEAR COMPANY,United States,2029-08-15,Drilling Equipment,RGH-0808-01,abs_cbc22765,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Exterior,Special machinery and equipment,The component 'Drilling Equipment' directly corresponds to the example 'Special machinery and equipment for drilling vessels' provided in the taxonomy. The examples show a consistent pattern where drilling-specific equipment is classified under Exterior > Special machinery and equipment > Special machinery and equipment for drilling vessels. This classification aligns with the rule that exterior/hull items and specialized machinery should be classified under Exterior.,abs,the oilgear companympany,the oilgear companympany,False,Drilling Equipment
THE OILGEAR COMPANY,United States,2026-06-29,Drilling Equipment,MCV-0806-D-01,abs_ca0f8e3c,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Exterior,Special machinery and equipment,The component 'Drilling Equipment' directly corresponds to the example 'Special machinery and equipment for drilling vessels' provided in the taxonomy. The examples show a consistent pattern where drilling-specific equipment is classified under Exterior > Special machinery and equipment > Special machinery and equipment for drilling vessels. This classification aligns with the rule that exterior/hull items and specialized machinery should be classified under Exterior.,abs,the oilgear companympany,the oilgear companympany,False,Drilling Equipment
THE OILGEAR COMPANY,United States,2028-04-20,"Valve, Anti-Recoil",ARV-0505-X-02,abs_887c7391,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Tube Part,Valve,"The component 'Valve, Anti-Recoil' is clearly a valve type that prevents recoil/back-flow in piping systems. Following the exact pattern shown in the examples (e.g., 'Anti-wave valve' classified as 'Tube Part > Valve > Anti-wave valve'), this should be classified under Tube Part as the Level 1 category, Valve as Level 2, and the specific valve type 'Anti-recoil valve' as Level 3. The anti-recoil function describes the specific purpose of this valve, similar to how 'anti-wave' describes the anti-wave valve.",abs,the oilgear companympany,the oilgear companympany,False,"Valve, Anti-Recoil"
THE OILGEAR COMPANY,United States,2024-01-28,Drilling Equipment (Valve),MCV-1008-D-02,abs_e417074d,"1424 INTERNATIONAL DRIVE, TRAVERSE CITY, MI, UNITED STATES, 49686",TRAVERSE CITY,MI,,,Exterior,Special machinery and equipment,"The component 'Drilling Equipment (Valve)' is clearly drilling-related equipment, which directly matches the pattern shown in Example 1. While the word 'valve' might suggest Tube Part classification, the context of 'Drilling Equipment' takes precedence as it represents specialized machinery for drilling operations. The examples consistently show that drilling-related equipment is classified under Exterior > Special machinery and equipment > Special machinery and equipment for drilling vessels, regardless of specific sub-components like valves.",abs,the oilgear companympany,the oilgear companympany,False,Drilling Equipment
VIKING CORPORATION,United States,2027-09-13,Spray Nozzle,"VK811, VK812, VK813, VK814",abs_40ad27c8,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,General Part,Coating equipment,"Based on Example 1, spraying equipment falls under General Part > Coating equipment. A spray nozzle is a specific component of spraying equipment, making it the natural Level 3 item under this path. The component is neither a raw material (Materials), nor a pressure vessel (Machine Installation), nor a piping component (Tube Part), so General Part is the most appropriate Level 1 category.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,Spray Nozzle
VIKING CORPORATION,United States,2026-07-06,"Valve, Deluge",F-1 Deluge Valve - Straight Through Valve,abs_c6a3785f,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"Following the pattern shown in the examples, all valve-related components are classified under 'Tube Part > Valve' with the specific valve type as Level 3. The component 'Valve, Deluge' clearly indicates it's a valve type, and 'deluge' specifies the particular kind of valve used in fire suppression systems. This follows the same structure as 'Plug valve', 'Sea Valve', and 'Instrument valve' examples.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,"Valve, Deluge"
VIKING CORPORATION,United States,2024-06-09,"Valve, Deluge Flow Control","E-1, E-2, E3 & E4",abs_ee9d3974,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"Based on the examples provided, all valve components are consistently classified under 'Tube Part > Valve' with the specific valve type as Level 3. The component 'Valve, Deluge Flow Control' is clearly a valve used in piping systems for controlling deluge flow (typically fire suppression systems), making it a tube/piping component. Following the exact pattern shown in examples like 'Pressure reducing valve' and 'Stop valve', this should be classified as 'Tube Part > Valve > Deluge Flow Control valve'.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,"Valve, Deluge Flow Control"
VIKING CORPORATION,United States,2026-07-06,"Valve, Flow Control",J-2 Flow Control Valve with Halar® Coating,abs_557e799a,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"Based on the examples provided, all valve-related components are classified under 'Tube Part > Valve' with specific valve types at Level 3. Since 'Flow Control' describes the specific function of this valve (similar to how 'Adjustment', 'Stop', and 'Pressure reducing' describe specific valve functions in the examples), it should follow the same pattern. The component name 'Valve, Flow Control' clearly indicates it's a valve used for controlling flow, making 'Flow control valve' the appropriate Level 3 classification.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,"Valve, Flow Control"
VIKING CORPORATION,United States,2026-07-06,"Valve, Flow Control",J-1 FLOW CONTROL VALVE,abs_ddae5e89,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"Based on the examples provided, all valve-related components are classified under 'Tube Part > Valve' with specific valve types at Level 3. Since 'Flow Control' describes the specific function of this valve (similar to how 'Adjustment', 'Stop', and 'Pressure reducing' describe specific valve functions in the examples), it should follow the same pattern. The component name 'Valve, Flow Control' clearly indicates it's a valve used for controlling flow, making 'Flow control valve' the appropriate Level 3 classification.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,"Valve, Flow Control"
VIKING CORPORATION,United States,2029-03-05,"Valve, Alarm Check",J-1,abs_5801a690,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"The component 'Valve, Alarm Check' is fundamentally a valve (a check valve with alarm functionality). According to the classification rules, valves are categorized under 'Tube Part'. The examples show that 'Check valve' is classified as 'Tube Part > Valve > Check valve', and 'Safety valve' follows the same pattern. The 'alarm' aspect appears to be a modifier describing the type of check valve rather than making it an electrical component. This follows the pattern seen in 'Self closing valve' where the modifier is incorporated into the specific valve type.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,"Valve, Alarm Check"
VIKING CORPORATION,United States,2026-07-06,"Valve, Deluge",F-2 Deluge Valve - Straight Through Valve with Halar® Coating,abs_09f77167,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"Following the pattern shown in the examples, all valve-related components are classified under 'Tube Part > Valve' with the specific valve type as Level 3. The component 'Valve, Deluge' clearly indicates it's a valve type, and 'deluge' specifies the particular kind of valve used in fire suppression systems. This follows the same structure as 'Plug valve', 'Sea Valve', and 'Instrument valve' examples.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,"Valve, Deluge"
VIKING CORPORATION,United States,2026-07-08,Fire Sprinkler,"Standard Response Fire Sprinklers -VK300, VK302, VK310, VK350, VK352 & VK354",abs_61bf0f2d,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Fire protection system,"A fire sprinkler is a water-distribution device that is part of a vessel’s fire-suppression piping network. Example 2 already lists “Sprinkler” under Tube Part > Funnel, but Example 5 shows that fire-related sprinklers belong under Tube Part > Fire protection system. Combining these precedents, a fire sprinkler is best placed under Fire protection system (Level 2) rather than Funnel, because its primary purpose is fire suppression, not general liquid distribution.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,Fire Sprinkler
VIKING CORPORATION,United States,2026-07-08,Fire Sprinkler,"Standard Response Fire Sprinklers - VK100, VK102, VK118, VK120, VK200 & VK202",abs_0c8af0f8,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Fire protection system,"A fire sprinkler is a water-distribution device that is part of a vessel’s fire-suppression piping network. Example 2 already lists “Sprinkler” under Tube Part > Funnel, but Example 5 shows that fire-related sprinklers belong under Tube Part > Fire protection system. Combining these precedents, a fire sprinkler is best placed under Fire protection system (Level 2) rather than Funnel, because its primary purpose is fire suppression, not general liquid distribution.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,Fire Sprinkler
VIKING CORPORATION,United States,2024-06-06,"Valve, Flow Control","H-1, H-2, H-3 & H-4",abs_de9ebe9e,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"Based on the examples provided, all valve-related components are classified under 'Tube Part > Valve' with specific valve types at Level 3. Since 'Flow Control' describes the specific function of this valve (similar to how 'Adjustment', 'Stop', and 'Pressure reducing' describe specific valve functions in the examples), it should follow the same pattern. The component name 'Valve, Flow Control' clearly indicates it's a valve used for controlling flow, making 'Flow control valve' the appropriate Level 3 classification.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,"Valve, Flow Control"
VIKING CORPORATION,United States,2029-03-17,Thermostatic Release,C-1 & C-2,abs_ddbf7e55,"210 NORTH INDUSTRIAL PARK ROAD, HASTINGS, MI, UNITED STATES, 49058",HASTINGS,MI,,,Tube Part,Valve,"The term 'Thermostatic Release' strongly parallels the 'Thermostatic valve' example, sharing the 'thermostatic' keyword and both being temperature-sensitive mechanical devices. Following the Tube Part classification for valves and thermostatic components (as seen in Example 1), and given that a 'release' mechanism is functionally similar to a valve (controlling flow/release of fluids/gases), this is the most consistent classification.",abs,viking companyrporationoration,gai-tronics companyrporationoration,False,Thermostatic Release
WORLD TEK INDUSTRIES,United States,2029-06-04,Diesel Engine,"Engine Model: 710GC, ME23A, & E23B Series
Turbocharger Model: K",abs_a50ee357,"36310 EUREKA ROAD, ROMULUS, MI, UNITED STATES, 48174",ROMULUS,MI,,,Machine Installation,Main engine and main boiler,"A diesel engine is clearly a mechanical power-generating component that propels the vessel, which aligns perfectly with the 'Main engine and main boiler' category under Machine Installation. This is supported by Example 1 where 'Main engine and main boiler' is explicitly listed as a Level 2 category under Machine Installation. Since diesel engines are the primary propulsion system on most ships, they fit the 'main engine' classification rather than auxiliary systems.",abs,world tek industries,world tek industries,False,Diesel Engine
YATES INDUSTRIES,United States,2026-02-27,Hydraulic Cylinder for Steering Gear Applications,H6C-N7.0X-36.00S4.00XMS11,abs_57466d1a,"23050 INDUSTRIAL DR. EAST, SAINT CLAIR SHORES, MI, UNITED STATES, 48080",SAINT CLAIR SHORES,MI,,,Machine Installation,Steering Gear,"A hydraulic cylinder is a mechanical actuator that is an integral part of a steering gear system. According to the classification rules, 'Equipment/machinery/mechanical parts → Machine Installation'. The component is specifically designed for steering gear applications, making it a sub-component of steering gear systems. This aligns with Example 1 where 'Gear Pumps' are classified under 'Machine Installation > Pump > Gear Pumps', following the pattern of major category (Machine Installation) > system type (Pump/Steering Gear) > specific component (Gear Pumps/Hydraulic Cylinder).",abs,yates industries,yates industries,False,Hydraulic Steering Gear Cylinder
YATES INDUSTRIES,United States,2026-10-26,Hydraulic Steering Gear Cylinder,YS‐180349‐SP-ABS‐8X40X5.5,abs_bb3268a8,"23050 INDUSTRIAL DR. EAST, SAINT CLAIR SHORES, MI, UNITED STATES, 48080",SAINT CLAIR SHORES,MI,,,Machine Installation,Steering Gear,"A hydraulic steering gear cylinder is a core mechanical component of the steering system, directly analogous to how 'Gear Pumps' was classified under 'Machine Installation > Pump'. The component is part of the steering machinery rather than exterior hull fittings, piping, or electrical systems, so Machine Installation is the correct Level 1 category.",abs,yates industries,yates industries,False,Hydraulic Steering Gear Cylinder
YATES INDUSTRIES,United States,2030-07-30,Hydraulic Cylinder,H6Q-C10.C-65.00X5.50X2S11,abs_99186e98,"23050 INDUSTRIAL DR. EAST, SAINT CLAIR SHORES, MI, UNITED STATES, 48080",SAINT CLAIR SHORES,MI,,,Machine Installation,Actuators,"A hydraulic cylinder is a mechanical actuator that converts hydraulic energy into linear motion and force. Following the classification rules, equipment/machinery/mechanical parts belong to Machine Installation. While not explicitly listed in the examples, hydraulic cylinders function similarly to pressure vessels (Example 2) as they contain pressurized fluid, but are more accurately classified as actuators - mechanical devices that create motion. This aligns with the Machine Installation category which encompasses mechanical equipment and machinery.",abs,yates industries,yates industries,False,Hydraulic Cylinder
YATES INDUSTRIES,United States,2024-11-14,Hydraulic Steering Gear Cylinder,H6Q-C5.0N-33.00S3.50T2SXX,abs_886e63c1,"23050 INDUSTRIAL DR. EAST, SAINT CLAIR SHORES, MI, UNITED STATES, 48080",SAINT CLAIR SHORES,MI,,,Machine Installation,Steering Gear,"A hydraulic steering gear cylinder is a core mechanical component of the steering system, directly analogous to how 'Gear Pumps' was classified under 'Machine Installation > Pump'. The component is part of the steering machinery rather than exterior hull fittings, piping, or electrical systems, so Machine Installation is the correct Level 1 category.",abs,yates industries,yates industries,False,Hydraulic Steering Gear Cylinder
ESAB AlcoTec Wire Corporation,United States,2026-01-12,Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding,,bv_f1be0cb7,"2750 Aero Park Drive, Traverse City, MI",Traverse City,MI,231-941-4111,,Materials,Welding materials,"The component 'Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding' is clearly a welding consumable material, not equipment or machinery. It matches the pattern seen in Examples 1-4 where specific welding wire/gas combinations are classified under Materials > Welding materials. The examples show that welding wires (copper alloy, CO2 shielded, stainless steel) and flux-cored wire are all classified as Materials > Welding materials with specific Level 3 entries. This component is a consumable welding material that combines solid wire with gas for welding processes, making it directly analogous to the provided examples.",bv,esab alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding
ESAB AlcoTec Wire Corporation,United States,2026-01-12,Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding,,bv_804d83a4,"2750 Aero Park Drive, Traverse City, MI",Traverse City,MI,231-941-4111,,Materials,Welding materials,"The component 'Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding' is clearly a welding consumable material, not equipment or machinery. It matches the pattern seen in Examples 1-4 where specific welding wire/gas combinations are classified under Materials > Welding materials. The examples show that welding wires (copper alloy, CO2 shielded, stainless steel) and flux-cored wire are all classified as Materials > Welding materials with specific Level 3 entries. This component is a consumable welding material that combines solid wire with gas for welding processes, making it directly analogous to the provided examples.",bv,esab alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding
ESAB AlcoTec Wire Corporation,United States,2026-01-12,Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding,,bv_a6df16cf,"2750 Aero Park Drive, Traverse City, MI",Traverse City,MI,231-941-4111,,Materials,Welding materials,"The component 'Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding' is clearly a welding consumable material, not equipment or machinery. It matches the pattern seen in Examples 1-4 where specific welding wire/gas combinations are classified under Materials > Welding materials. The examples show that welding wires (copper alloy, CO2 shielded, stainless steel) and flux-cored wire are all classified as Materials > Welding materials with specific Level 3 entries. This component is a consumable welding material that combines solid wire with gas for welding processes, making it directly analogous to the provided examples.",bv,esab alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Solid Wire / Gas Combination for Semi-Automatic or Automatic Welding
